,player_name,goals,year
0, Richarlison,2,2018/2019
1, Sadio Mané,2,2018/2019
2, Roberto Pereyra,2,2018/2019
3, Dele Alli,1,2018/2019
4, Rúben Neves,1,2018/2019
5, Ryan Fraser,1,2018/2019
6, Jorginho,1,2018/2019
7, Raúl Jiménez,1,2018/2019
8, N'Golo Kanté,1,2018/2019
9, Joselu,1,2018/2019
10, Paul Pogba,1,2018/2019
11, Pedro,1,2018/2019
12, Mohamed Salah,1,2018/2019
13, Jeffrey Schlupp,1,2018/2019
14, Luke Shaw,1,2018/2019
15, Raheem Sterling,1,2018/2019
16, Daniel Sturridge,1,2018/2019
17, Jamie Vardy,1,2018/2019
18, Bernardo Silva,1,2018/2019
19, Jan Vertonghen,1,2018/2019
0, Callum Wilson,1,2018/2019
1, Wilfried Zaha,1,2018/2019
0, Mohamed Salah,32,2017/2018
1, Harry Kane,30,2017/2018
2, Sergio Agüero,21,2017/2018
3, Jamie Vardy,20,2017/2018
4, Raheem Sterling,18,2017/2018
5, Romelu Lukaku,16,2017/2018
6, Roberto Firmino,15,2017/2018
7, Alexandre Lacazette,14,2017/2018
8, Gabriel Jesus,13,2017/2018
9, Eden Hazard,12,2017/2018
10, Riyad Mahrez,12,2017/2018
11, Glenn Murray,12,2017/2018
12, Son Heung-Min,12,2017/2018
13, Marko Arnautovic,11,2017/2018
14, Álvaro Morata,11,2017/2018
15, Pierre-Emerick Aubameyang,10,2017/2018
16, Christian Eriksen,10,2017/2018
17, Sadio Mané,10,2017/2018
18, Luka Milivojevic,10,2017/2018
19, Wayne Rooney,10,2017/2018
0, Leroy Sané,10,2017/2018
1, Chris Wood,10,2017/2018
2, Dele Alli,9,2017/2018
3, Ashley Barnes,9,2017/2018
4, Anthony Martial,9,2017/2018
5, Alexis Sánchez,9,2017/2018
6, David Silva,9,2017/2018
7, Wilfried Zaha,9,2017/2018
8, Kevin De Bruyne,8,2017/2018
9, Chicharito,8,2017/2018
10, Joshua King,8,2017/2018
11, Jesse Lingard,8,2017/2018
12, Oumar Niasse,8,2017/2018
13, Ayoze Pérez,8,2017/2018
14, Xherdan Shaqiri,8,2017/2018
15, Callum Wilson,8,2017/2018
16, Marcos Alonso,7,2017/2018
17, Charlie Austin,7,2017/2018
18, Jordan Ayew,7,2017/2018
19, Coutinho,7,2017/2018
0, Abdoulaye Doucouré,7,2017/2018
1, Olivier Giroud,7,2017/2018
2, Pascal Groß,7,2017/2018
3, Steve Mounie,7,2017/2018
4, Aaron Ramsey,7,2017/2018
5, Marcus Rashford,7,2017/2018
6, Jay Rodriguez,7,2017/2018
7, Salomón Rondón,7,2017/2018
8, Willian,6,2017/2018
9, Laurent Depoitre,6,2017/2018
10, Mame Biram Diouf,6,2017/2018
11, Dwight Gayle,6,2017/2018
12, Shinji Okazaki,6,2017/2018
13, Paul Pogba,6,2017/2018
14, Dusan Tadic,6,2017/2018
15, Bernardo Silva,6,2017/2018
16, Tammy Abraham,5,2017/2018
17, Eric Maxim Choupo-Moting,5,2017/2018
18, Peter Crouch,5,2017/2018
19, Richarlison,5,2017/2018
0, Troy Deeney,5,2017/2018
1, Ryan Fraser,5,2017/2018
2, Manolo Gabbiadini,5,2017/2018
3, Andre Gray,5,2017/2018
4, José Izquierdo,5,2017/2018
5, Manuel Lanzini,5,2017/2018
6, Fernandinho,5,2017/2018
7, James McArthur,5,2017/2018
8, Nacho Monreal,5,2017/2018
9, Roberto Pereyra,5,2017/2018
10, Junior Stanislas,5,2017/2018
11, Cenk Tosun,5,2017/2018
12, Patrick van Aanholt,5,2017/2018
13, Danny Welbeck,5,2017/2018
14, Dominic Calvert-Lewin,4,2017/2018
15, Jermain Defoe,4,2017/2018
16, Marouane Fellaini,4,2017/2018
17, Ilkay Gündogan,4,2017/2018
18, Joselu,4,2017/2018
19, Aaron Mooy,4,2017/2018
0, Mark Noble,4,2017/2018
1, Nicolás Otamendi,4,2017/2018
2, Mesut Özil,4,2017/2018
3, Pedro,4,2017/2018
4, Gylfi Sigurdsson,4,2017/2018
5, Chris Smalling,4,2017/2018
6, Sam Vokes,4,2017/2018
7, Michail Antonio,3,2017/2018
8, André Ayew,3,2017/2018
9, Christian Benteke,3,2017/2018
10, Emre Can,3,2017/2018
11, Andy Carroll,3,2017/2018
12, Sam Clucas,3,2017/2018
13, Danilo,3,2017/2018
14, Steven Davis,3,2017/2018
15, Demarai Gray,3,2017/2018
16, Vicente Iborra,3,2017/2018
17, Kelechi Iheanacho,3,2017/2018
18, Alex Iwobi,3,2017/2018
19, Daryl Janmaat,3,2017/2018
0, Andy King,3,2017/2018
1, Anthony Knockaert,3,2017/2018
2, Jamaal Lascelles,3,2017/2018
3, Juan Mata,3,2017/2018
4, Henrikh Mkhitaryan,3,2017/2018
5, Victor Moses,3,2017/2018
6, Shkodran Mustafi,3,2017/2018
7, Alex Oxlade-Chamberlain,3,2017/2018
8, Matt Ritchie,3,2017/2018
9, Bakary Sako,3,2017/2018
10, James Tomkins,3,2017/2018
11, Antonio Valencia,3,2017/2018
12, Rajiv van La Parra,3,2017/2018
13, Theo Walcott,3,2017/2018
14, James Ward-Prowse,3,2017/2018
15, Nathan Aké,2,2017/2018
16, Marc Albrighton,2,2017/2018
17, Joe Allen,2,2017/2018
18, Scott Arfield,2,2017/2018
19, Christian Atsu,2,2017/2018
0, Serge Aurier,2,2017/2018
1, César Azpilicueta,2,2017/2018
2, Leighton Baines,2,2017/2018
3, Tiemoué Bakayoko,2,2017/2018
4, Michy Batshuayi,2,2017/2018
5, Héctor Bellerín,2,2017/2018
6, Johann Berg Gudmundsson,2,2017/2018
7, Wilfried Bony,2,2017/2018
8, Sofiane Boufal,2,2017/2018
9, Ciaran Clark,2,2017/2018
10, Steve Cook,2,2017/2018
11, Jack Cork,2,2017/2018
12, Ben Davies,2,2017/2018
13, Tom Davies,2,2017/2018
14, Craig Dawson,2,2017/2018
15, Mohamed Diamé,2,2017/2018
16, Jonny Evans,2,2017/2018
17, Cesc Fàbregas,2,2017/2018
18, Dan Gosling,2,2017/2018
19, Idrissa Gueye,2,2017/2018
0, Ahmed Hegazi,2,2017/2018
1, Tomer Hemed,2,2017/2018
2, Jeff Hendrick,2,2017/2018
3, Will Hughes,2,2017/2018
4, Jordon Ibe,2,2017/2018
5, Tom Ince,2,2017/2018
6, Christian Kabasele,2,2017/2018
7, Ki Sung-yueng,2,2017/2018
8, Sead Kolasinac,2,2017/2018
9, Laurent Koscielny,2,2017/2018
10, Cheikhou Kouyaté,2,2017/2018
11, Erik Lamela,2,2017/2018
12, Jake Livermore,2,2017/2018
13, Ruben Loftus-Cheek,2,2017/2018
14, Shane Long,2,2017/2018
15, Dejan Lovren,2,2017/2018
16, Harry Maguire,2,2017/2018
17, Alfie Mawson,2,2017/2018
18, Lys Mousset,2,2017/2018
19, João Mário,2,2017/2018
0, Badou Ndiaye,2,2017/2018
1, Kenedy,2,2017/2018
2, Pedro Obiang,2,2017/2018
3, Matt Phillips,2,2017/2018
4, Hal Robson-Kanu,2,2017/2018
5, Antonio Rüdiger,2,2017/2018
6, Diafra Sakho,2,2017/2018
7, Ramadan Sobhi,2,2017/2018
8, Jack Stephens,2,2017/2018
9, Daniel Sturridge,2,2017/2018
10, Andrew Surman,2,2017/2018
11, Andros Townsend,2,2017/2018
12, Maya Yoshida,2,2017/2018
13, Ashley Young,2,2017/2018
14, Trent Alexander-Arnold,1,2017/2018
15, Harry Arter,1,2017/2018
16, Eric Bailly,1,2017/2018
17, Gareth Barry,1,2017/2018
18, Jan Bednarek,1,2017/2018
19, Yannick Bolasie,1,2017/2018
0, Robbie Brady,1,2017/2018
1, Miguel Britos,1,2017/2018
2, Etienne Capoue,1,2017/2018
3, André Carrillo,1,2017/2018
4, Nacer Chadli,1,2017/2018
5, Tom Cleverley,1,2017/2018
6, James Collins,1,2017/2018
7, Aaron Cresswell,1,2017/2018
8, Charlie Daniels,1,2017/2018
9, Scott Dann,1,2017/2018
10, Steven Defour,1,2017/2018
11, Fabian Delph,1,2017/2018
12, Gerard Deulofeu,1,2017/2018
13, Daniel Drinkwater,1,2017/2018
14, Lewis Dunk,1,2017/2018
15, Kiko Femenía,1,2017/2018
16, Leroy Fer,1,2017/2018
17, Federico Fernández,1,2017/2018
18, Sam Field,1,2017/2018
19, Darren Fletcher,1,2017/2018
0, Isaac Hayden,1,2017/2018
1, Jordan Henderson,1,2017/2018
2, Danny Ings,1,2017/2018
3, Elias Kachunga,1,2017/2018
4, N'Golo Kanté,1,2017/2018
5, Ragnar Klavan,1,2017/2018
6, Vincent Kompany,1,2017/2018
7, Mario Lemina,1,2017/2018
8, Fernando Llorente,1,2017/2018
9, Jürgen Locadia,1,2017/2018
10, Joe Lolley,1,2017/2018
11, Kevin Long,1,2017/2018
12, David Luiz,1,2017/2018
13, Solly March,1,2017/2018
14, Nemanja Matic,1,2017/2018
15, Joel Matip,1,2017/2018
16, James McClean,1,2017/2018
17, Mikel Merino,1,2017/2018
18, Per Mertesacker,1,2017/2018
19, Aleksandar Mitrovic,1,2017/2018
0, James Morrison,1,2017/2018
1, Jacob Murphy,1,2017/2018
2, Luciano Narsingh,1,2017/2018
3, Angelo Ogbonna,1,2017/2018
4, Stefano Okaka,1,2017/2018
5, Alex Pritchard,1,2017/2018
6, Nathan Redmond,1,2017/2018
7, Andrew Robertson,1,2017/2018
8, Jesé,1,2017/2018
9, Oriol Romeu,1,2017/2018
10, Henri Saivet,1,2017/2018
11, Mamadou Sakho,1,2017/2018
12, Ryan Shawcross,1,2017/2018
13, Jonjo Shelvey,1,2017/2018
14, Moussa Sissoko,1,2017/2018
15, Islam Slimani,1,2017/2018
16, Adam Smith,1,2017/2018
17, Dominic Solanke,1,2017/2018
18, Leonardo Ulloa,1,2017/2018
19, Mike van der Hoorn,1,2017/2018
0, Molla Wagué,1,2017/2018
1, Victor Wanyama,1,2017/2018
2, Stephen Ward,1,2017/2018
3, Georginio Wijnaldum,1,2017/2018
4, Ashley Williams,1,2017/2018
5, Jack Wilshere,1,2017/2018
6, Granit Xhaka,1,2017/2018
7, Davide Zappacosta,1,2017/2018
8, Kurt Zouma,1,2017/2018
9, Yohan Cabaye,0,2017/2018
0, Harry Kane,29,2016/2017
1, Romelu Lukaku,25,2016/2017
2, Alexis Sánchez,24,2016/2017
3, Sergio Agüero,20,2016/2017
4, Diego Costa,20,2016/2017
5, Dele Alli,18,2016/2017
6, Zlatan Ibrahimovic,17,2016/2017
7, Eden Hazard,16,2016/2017
8, Joshua King,16,2016/2017
9, Christian Benteke,15,2016/2017
10, Jermain Defoe,15,2016/2017
11, Fernando Llorente,15,2016/2017
12, Son Heung-Min,14,2016/2017
13, Coutinho,13,2016/2017
14, Sadio Mané,13,2016/2017
15, Jamie Vardy,13,2016/2017
16, Olivier Giroud,12,2016/2017
17, Roberto Firmino,11,2016/2017
18, Troy Deeney,10,2016/2017
19, Sam Vokes,10,2016/2017
0, Theo Walcott,10,2016/2017
1, Michail Antonio,9,2016/2017
2, Andre Gray,9,2016/2017
3, Álvaro Negredo,9,2016/2017
4, Pedro,9,2016/2017
5, Gylfi Sigurdsson,9,2016/2017
6, Willian,8,2016/2017
7, Christian Eriksen,8,2016/2017
8, Adam Lallana,8,2016/2017
9, Manuel Lanzini,8,2016/2017
10, Mesut Özil,8,2016/2017
11, Salomón Rondón,8,2016/2017
12, Etienne Capoue,7,2016/2017
13, Andy Carroll,7,2016/2017
14, Peter Crouch,7,2016/2017
15, Gabriel Jesus,7,2016/2017
16, James Milner,7,2016/2017
17, Divock Origi,7,2016/2017
18, Nathan Redmond,7,2016/2017
19, Islam Slimani,7,2016/2017
0, Robert Snodgrass,7,2016/2017
1, Junior Stanislas,7,2016/2017
2, Raheem Sterling,7,2016/2017
3, Wilfried Zaha,7,2016/2017
4, Benik Afobe,6,2016/2017
5, Joe Allen,6,2016/2017
6, Marcos Alonso,6,2016/2017
7, Marko Arnautovic,6,2016/2017
8, Charlie Austin,6,2016/2017
9, André Ayew,6,2016/2017
10, Ashley Barnes,6,2016/2017
11, Gary Cahill,6,2016/2017
12, Kevin De Bruyne,6,2016/2017
13, Leroy Fer,6,2016/2017
14, Riyad Mahrez,6,2016/2017
15, Juan Mata,6,2016/2017
16, Gareth McAuley,6,2016/2017
17, Georginio Wijnaldum,6,2016/2017
18, Callum Wilson,6,2016/2017
19, Ross Barkley,5,2016/2017
0, Michy Batshuayi,5,2016/2017
1, Emre Can,5,2016/2017
2, Nacer Chadli,5,2016/2017
3, Cesc Fàbregas,5,2016/2017
4, James McArthur,5,2016/2017
5, James Morrison,5,2016/2017
6, Paul Pogba,5,2016/2017
7, Marcus Rashford,5,2016/2017
8, Jay Rodriguez,5,2016/2017
9, Wayne Rooney,5,2016/2017
10, Leroy Sané,5,2016/2017
11, Yaya Touré,5,2016/2017
12, Patrick van Aanholt,5,2016/2017
13, Nolito,4,2016/2017
14, Yohan Cabaye,4,2016/2017
15, Seamus Coleman,4,2016/2017
16, Charlie Daniels,4,2016/2017
17, Craig Dawson,4,2016/2017
18, Marten de Roon,4,2016/2017
19, Manolo Gabbiadini,4,2016/2017
0, Abel Hernández,4,2016/2017
1, Kelechi Iheanacho,4,2016/2017
2, Anthony Martial,4,2016/2017
3, Alfie Mawson,4,2016/2017
4, Kevin Mirallas,4,2016/2017
5, Henrikh Mkhitaryan,4,2016/2017
6, Oumar Niasse,4,2016/2017
7, Stefano Okaka,4,2016/2017
8, Matt Phillips,4,2016/2017
9, Xherdan Shaqiri,4,2016/2017
10, David Silva,4,2016/2017
11, Cristhian Stuani,4,2016/2017
12, Jonathan Walters,4,2016/2017
13, Victor Wanyama,4,2016/2017
14, James Ward-Prowse,4,2016/2017
15, Nathan Aké,3,2016/2017
16, Victor Anichebe,3,2016/2017
17, Chris Brunt,3,2016/2017
18, Sam Clucas,3,2016/2017
19, Scott Dann,3,2016/2017
0, Michael Dawson,3,2016/2017
1, Sofiane Feghouli,3,2016/2017
2, Ryan Fraser,3,2016/2017
3, Ilkay Gündogan,3,2016/2017
4, Alex Iwobi,3,2016/2017
5, Phil Jagielka,3,2016/2017
6, Vincent Kompany,3,2016/2017
7, Bojan,3,2016/2017
8, Shane Long,3,2016/2017
9, Victor Moses,3,2016/2017
10, Mark Noble,3,2016/2017
11, Shinji Okazaki,3,2016/2017
12, Hal Robson-Kanu,3,2016/2017
13, Wayne Routledge,3,2016/2017
14, Daniel Sturridge,3,2016/2017
15, Dusan Tadic,3,2016/2017
16, James Tomkins,3,2016/2017
17, Andros Townsend,3,2016/2017
18, Enner Valencia,3,2016/2017
19, Marc Albrighton,2,2016/2017
0, Leighton Baines,2,2016/2017
1, Gareth Barry,2,2016/2017
2, Ryan Bertrand,2,2016/2017
3, Wilfried Bony,2,2016/2017
4, Fabio Borini,2,2016/2017
5, George Boyd,2,2016/2017
6, Santiago Cazorla,2,2016/2017
7, Calum Chambers,2,2016/2017
8, James Collins,2,2016/2017
9, Steve Cook,2,2016/2017
10, Tom Davies,2,2016/2017
11, Eric Dier,2,2016/2017
12, Adama Diomande,2,2016/2017
13, Jonny Evans,2,2016/2017
14, Darren Fletcher,2,2016/2017
15, Christian Fuchs,2,2016/2017
16, Dan Gosling,2,2016/2017
17, Jeff Hendrick,2,2016/2017
18, José Holebas,2,2016/2017
19, Robert Huth,2,2016/2017
0, Daryl Janmaat,2,2016/2017
1, Vincent Janssen,2,2016/2017
2, Christian Kabasele,2,2016/2017
3, Younes Kaboul,2,2016/2017
4, Michael Keane,2,2016/2017
5, Laurent Koscielny,2,2016/2017
6, Dejan Lovren,2,2016/2017
7, Fernandinho,2,2016/2017
8, Harry Maguire,2,2016/2017
9, Lazar Markovic,2,2016/2017
10, Luka Milivojevic,2,2016/2017
11, Ahmed Musa,2,2016/2017
12, Shkodran Mustafi,2,2016/2017
13, Wilfred Ndidi,2,2016/2017
14, M'Baye Niang,2,2016/2017
15, Martin Olsson,2,2016/2017
16, Alex Oxlade-Chamberlain,2,2016/2017
17, Dimitri Payet,2,2016/2017
18, Roberto Pereyra,2,2016/2017
19, Marc Pugh,2,2016/2017
0, Gastón Ramírez,2,2016/2017
1, Andrea Ranocchia,2,2016/2017
2, Winston Reid,2,2016/2017
3, Danny Rose,2,2016/2017
4, Danny Welbeck,2,2016/2017
5, Connor Wickham,2,2016/2017
6, Granit Xhaka,2,2016/2017
7, Charlie Adam,1,2016/2017
8, Toby Alderweireld,1,2016/2017
9, Daniel Amartey,1,2016/2017
10, Scott Arfield,1,2016/2017
11, Harry Arter,1,2016/2017
12, Daniel Ayala,1,2016/2017
13, Jordan Ayew,1,2016/2017
14, César Azpilicueta,1,2016/2017
15, Patrick Bamford,1,2016/2017
16, Joey Barton,1,2016/2017
17, Héctor Bellerín,1,2016/2017
18, Johann Berg Gudmundsson,1,2016/2017
19, Daley Blind,1,2016/2017
0, Yannick Bolasie,1,2016/2017
1, Sofiane Boufal,1,2016/2017
2, Robbie Brady,1,2016/2017
3, Miguel Britos,1,2016/2017
4, Jonathan Calleri,1,2016/2017
5, Dominic Calvert-Lewin,1,2016/2017
6, Fraizer Campbell,1,2016/2017
7, Tom Carroll,1,2016/2017
8, Ben Chilwell,1,2016/2017
9, Jordy Clasie,1,2016/2017
10, Gaël Clichy,1,2016/2017
11, Ben Davies,1,2016/2017
12, Steven Defour,1,2016/2017
13, Fabian Delph,1,2016/2017
14, Mousa Dembélé,1,2016/2017
15, Mame Biram Diouf,1,2016/2017
16, Abdoulaye Doucouré,1,2016/2017
17, Stewart Downing,1,2016/2017
18, Daniel Drinkwater,1,2016/2017
19, Marouane Fellaini,1,2016/2017
0, Rudy Gestede,1,2016/2017
1, Ben Gibson,1,2016/2017
2, Borja Bastón,1,2016/2017
3, Demarai Gray,1,2016/2017
4, Idrissa Gueye,1,2016/2017
5, Josh Harrop,1,2016/2017
6, Jordan Henderson,1,2016/2017
7, Ander Herrera,1,2016/2017
8, Tom Huddlestone,1,2016/2017
9, Odion Ighalo,1,2016/2017
10, Billy Jones,1,2016/2017
11, N'Golo Kanté,1,2016/2017
12, Wahbi Khazri,1,2016/2017
13, Andy King,1,2016/2017
14, Aleksandar Kolarov,1,2016/2017
15, Lamine Koné,1,2016/2017
16, Cheikhou Kouyaté,1,2016/2017
17, Erik Lamela,1,2016/2017
18, Grant Leadbitter,1,2016/2017
19, Joe Ledley,1,2016/2017
0, Jesse Lingard,1,2016/2017
1, Jake Livermore,1,2016/2017
2, Ademola Lookman,1,2016/2017
3, David Luiz,1,2016/2017
4, Shaun Maloney,1,2016/2017
5, Javier Manquillo,1,2016/2017
6, Dean Marney,1,2016/2017
7, Bruno Martins Indi,1,2016/2017
8, Ryan Mason,1,2016/2017
9, Nemanja Matic,1,2016/2017
10, Joel Matip,1,2016/2017
11, James McCarthy,1,2016/2017
12, James McClean,1,2016/2017
13, Ben Mee,1,2016/2017
14, David Meyler,1,2016/2017
15, Wes Morgan,1,2016/2017
16, Marc Muniesa,1,2016/2017
17, Alfred N'Diaye,1,2016/2017
18, Kyle Naughton,1,2016/2017
19, Didier Ndong,1,2016/2017
0, Pedro Obiang,1,2016/2017
1, Nicolás Otamendi,1,2016/2017
2, Matthew Pennington,1,2016/2017
3, Lucas Pérez,1,2016/2017
4, Sebastian Prödl,1,2016/2017
5, Aaron Ramsey,1,2016/2017
6, Angel Rangel,1,2016/2017
7, Andrew Robertson,1,2016/2017
8, Marcos Rojo,1,2016/2017
9, Oriol Romeu,1,2016/2017
10, Diafra Sakho,1,2016/2017
11, Morgan Schneiderlin,1,2016/2017
12, Ryan Shawcross,1,2016/2017
13, Chris Smalling,1,2016/2017
14, Adam Smith,1,2016/2017
15, Isaac Success,1,2016/2017
16, John Terry,1,2016/2017
17, Leonardo Ulloa,1,2016/2017
18, Antonio Valencia,1,2016/2017
19, Mike van der Hoorn,1,2016/2017
0, Virgil van Dijk,1,2016/2017
1, Stephen Ward,1,2016/2017
2, Ashley Williams,1,2016/2017
3, Harry Winks,1,2016/2017
4, Maya Yoshida,1,2016/2017
5, Pablo Zabaleta,1,2016/2017
6, Juan Camilo Zuñiga,1,2016/2017
7, Tom Cleverley,0,2016/2017
8, Ramadan Sobhi,0,2016/2017
0, Harry Kane,25,2015/2016
1, Sergio Agüero,24,2015/2016
2, Jamie Vardy,24,2015/2016
3, Romelu Lukaku,18,2015/2016
4, Riyad Mahrez,17,2015/2016
5, Olivier Giroud,16,2015/2016
6, Jermain Defoe,15,2015/2016
7, Odion Ighalo,15,2015/2016
8, Troy Deeney,13,2015/2016
9, Alexis Sánchez,13,2015/2016
10, André Ayew,12,2015/2016
11, Diego Costa,12,2015/2016
12, Marko Arnautovic,11,2015/2016
13, Sadio Mané,11,2015/2016
14, Anthony Martial,11,2015/2016
15, Graziano Pellè,11,2015/2016
16, Gylfi Sigurdsson,11,2015/2016
17, Georginio Wijnaldum,11,2015/2016
18, Dele Alli,10,2015/2016
19, Roberto Firmino,10,2015/2016
0, Harry Kane,25,2015/2016
1, Sergio Agüero,24,2015/2016
2, Jamie Vardy,24,2015/2016
3, Romelu Lukaku,18,2015/2016
4, Riyad Mahrez,17,2015/2016
5, Olivier Giroud,16,2015/2016
6, Jermain Defoe,15,2015/2016
7, Odion Ighalo,15,2015/2016
8, Troy Deeney,13,2015/2016
9, Alexis Sánchez,13,2015/2016
10, André Ayew,12,2015/2016
11, Diego Costa,12,2015/2016
12, Marko Arnautovic,11,2015/2016
13, Sadio Mané,11,2015/2016
14, Anthony Martial,11,2015/2016
15, Graziano Pellè,11,2015/2016
16, Gylfi Sigurdsson,11,2015/2016
17, Georginio Wijnaldum,11,2015/2016
18, Dele Alli,10,2015/2016
19, Roberto Firmino,10,2015/2016
0, Shane Long,10,2015/2016
1, Christian Benteke,9,2015/2016
2, Andy Carroll,9,2015/2016
3, Aleksandar Mitrovic,9,2015/2016
4, Dimitri Payet,9,2015/2016
5, Salomón Rondón,9,2015/2016
6, Michail Antonio,8,2015/2016
7, Ross Barkley,8,2015/2016
8, Coutinho,8,2015/2016
9, Kelechi Iheanacho,8,2015/2016
10, Wayne Rooney,8,2015/2016
11, Daniel Sturridge,8,2015/2016
12, Jordan Ayew,7,2015/2016
13, Kevin De Bruyne,7,2015/2016
14, Bojan,7,2015/2016
15, Dieudonne Mbokani Bezua,7,2015/2016
16, Mark Noble,7,2015/2016
17, Pedro,7,2015/2016
18, Dusan Tadic,7,2015/2016
19, Christian Eriksen,6,2015/2016
0, Bafétimbi Gomis,6,2015/2016
1, Joshua King,6,2015/2016
2, Manuel Lanzini,6,2015/2016
3, Juan Mata,6,2015/2016
4, Mesut Özil,6,2015/2016
5, Ayoze Pérez,6,2015/2016
6, Nathan Redmond,6,2015/2016
7, Raheem Sterling,6,2015/2016
8, Yaya Touré,6,2015/2016
9, Leonardo Ulloa,6,2015/2016
10, Yannick Bolasie,5,2015/2016
11, Willian,5,2015/2016
12, Fabio Borini,5,2015/2016
13, Yohan Cabaye,5,2015/2016
14, Scott Dann,5,2015/2016
15, Steven Davis,5,2015/2016
16, Mame Biram Diouf,5,2015/2016
17, Cesc Fàbregas,5,2015/2016
18, Rudy Gestede,5,2015/2016
19, Arouna Koné,5,2015/2016
0, Cheikhou Kouyaté,5,2015/2016
1, Erik Lamela,5,2015/2016
2, Aaron Lennon,5,2015/2016
3, James Milner,5,2015/2016
4, Shinji Okazaki,5,2015/2016
5, Divock Origi,5,2015/2016
6, Aaron Ramsey,5,2015/2016
7, Marcus Rashford,5,2015/2016
8, Diafra Sakho,5,2015/2016
9, Theo Walcott,5,2015/2016
10, Jonathan Walters,5,2015/2016
11, Connor Wickham,5,2015/2016
12, Callum Wilson,5,2015/2016
13, Benik Afobe,4,2015/2016
14, Toby Alderweireld,4,2015/2016
15, Saido Berahino,4,2015/2016
16, Wilfried Bony,4,2015/2016
17, Steve Cook,4,2015/2016
18, Craig Dawson,4,2015/2016
19, Steven Fletcher,4,2015/2016
0, Ramiro Funes Mori,4,2015/2016
1, Eden Hazard,4,2015/2016
2, Wes Hoolahan,4,2015/2016
3, Laurent Koscielny,4,2015/2016
4, Adam Lallana,4,2015/2016
5, Jesse Lingard,4,2015/2016
6, Joselu,4,2015/2016
7, Kevin Mirallas,4,2015/2016
8, Steven Naismith,4,2015/2016
9, Matt Ritchie,4,2015/2016
10, Son Heung-Min,4,2015/2016
11, Andros Townsend,4,2015/2016
12, Enner Valencia,4,2015/2016
13, Patrick van Aanholt,4,2015/2016
14, Danny Welbeck,4,2015/2016
15, Robbie Brady,3,2015/2016
16, Joel Campbell,3,2015/2016
17, Nacer Chadli,3,2015/2016
18, Papiss Demba Cissé,3,2015/2016
19, Charlie Daniels,3,2015/2016
0, Mousa Dembélé,3,2015/2016
1, Eric Dier,3,2015/2016
2, Oscar,3,2015/2016
3, Craig Gardner,3,2015/2016
4, Dwight Gayle,3,2015/2016
5, Dan Gosling,3,2015/2016
6, Ander Herrera,3,2015/2016
7, Jonny Howson,3,2015/2016
8, Robert Huth,3,2015/2016
9, Cameron Jerome,3,2015/2016
10, Aleksandar Kolarov,3,2015/2016
11, Jeremain Lens,3,2015/2016
12, Russell Martin,3,2015/2016
13, James Morrison,3,2015/2016
14, Glenn Murray,3,2015/2016
15, Marc Pugh,3,2015/2016
16, Xherdan Shaqiri,3,2015/2016
17, Junior Stanislas,3,2015/2016
18, Virgil van Dijk,3,2015/2016
19, Duncan Watmore,3,2015/2016
0, Mauro Zárate,3,2015/2016
1, Almen Abdi,2,2015/2016
2, Ibrahim Afellay,2,2015/2016
3, Marc Albrighton,2,2015/2016
4, Joe Allen,2,2015/2016
5, César Azpilicueta,2,2015/2016
6, Leighton Baines,2,2015/2016
7, Gary Cahill,2,2015/2016
8, Tom Cleverley,2,2015/2016
9, Aaron Cresswell,2,2015/2016
10, José Fonte,2,2015/2016
11, Damien Delaney,2,2015/2016
12, Fabian Delph,2,2015/2016
13, Memphis Depay,2,2015/2016
14, Gerard Deulofeu,2,2015/2016
15, Daniel Drinkwater,2,2015/2016
16, Carles Gil,2,2015/2016
17, Jordan Henderson,2,2015/2016
18, Giannelli Imbula,2,2015/2016
19, Danny Ings,2,2015/2016
0, Branislav Ivanovic,2,2015/2016
1, Alex Iwobi,2,2015/2016
2, Daryl Janmaat,2,2015/2016
3, Carl Jenkinson,2,2015/2016
4, Adam Johnson,2,2015/2016
5, Wahbi Khazri,2,2015/2016
6, Ki Sung-yueng,2,2015/2016
7, Andy King,2,2015/2016
8, Vincent Kompany,2,2015/2016
9, Lamine Koné,2,2015/2016
10, Jamaal Lascelles,2,2015/2016
11, Fernandinho,2,2015/2016
12, Nemanja Matic,2,2015/2016
13, James McArthur,2,2015/2016
14, James McCarthy,2,2015/2016
15, James McClean,2,2015/2016
16, Wes Morgan,2,2015/2016
17, Samir Nasri,2,2015/2016
18, Alberto Paloschi,2,2015/2016
19, Sebastian Prödl,2,2015/2016
0, Jason Puncheon,2,2015/2016
1, Fernando,2,2015/2016
2, Wayne Routledge,2,2015/2016
3, Bakary Sako,2,2015/2016
4, Ramires,2,2015/2016
5, Stéphane Sessegnon,2,2015/2016
6, David Silva,2,2015/2016
7, Scott Sinclair,2,2015/2016
8, Adam Smith,2,2015/2016
9, Alexander Tettey,2,2015/2016
10, Bertrand Traoré,2,2015/2016
11, Joel Ward,2,2015/2016
12, James Ward-Prowse,2,2015/2016
13, Ben Watson,2,2015/2016
14, Ashley Westwood,2,2015/2016
15, Ashley Williams,2,2015/2016
16, Wilfried Zaha,2,2015/2016
17, Rolando Aarons,1,2015/2016
18, Charlie Adam,1,2015/2016
19, Emmanuel Adebayor,1,2015/2016
0, Gabriel Agbonlahor,1,2015/2016
1, Nathan Aké,1,2015/2016
2, Vurnon Anita,1,2015/2016
